patent_number,title,abstract,date_filed,date_granted
US12193790B2,"Wearable devices comprising semiconductor diode light sources with improved signal-to-noise ratio 
       ","
     An optical system comprises a wearable device for measuring one or more physiological parameters. The physiological parameters may change in response to stretching of the hand or movement of fingers or thumb of the user, or the parameters may be related to blood constituents or blood flow. The wearable device comprises a light source with a plurality of semiconductor diodes and a detection system that measures reflected light from tissue comprising skin. The semiconductor diodes may be light emitting diodes or laser diodes. The signal to noise ratio for the output signal may be improved by synchronizing the detection system to the light source, increasing light intensity of at least one of the plurality of semiconductor diodes from an initial light intensity, and using change detection that compares light on versus light off for the detection system output. The wearable device is also configured to identify an object. 
   
   ",,
US12192426B2,"Device and system for recording and reading augmented reality content 
       ","
     A device for sharing augmented reality content between users on a network. Augmented reality media may be curated, searched, selected to be viewed or created and represented by an icon representative of the media content. 
   
   ",,
US12207929B2,"System and method for deep analytics and strategic monetization of biomedical sensor data 
       ","
     In at least one embodiment, a system for assessing biometric information for an occupant in a vehicle is provided. The system includes a plurality of sensors and a controller. The plurality of sensors is positioned about a main cabin of the vehicle and being configured to provide the biometric information for the occupant in response to a stimulus and to transmit a first signal indicative of the biometric information. The controller is positioned in the vehicle and is configured to activate the stimulus in the vehicle and to receive the biometric information after the stimulus has been activated. The controller is further configured to transmit the biometric information to at least one of another controller in the vehicle or to a server that is remote from the vehicle to assess the biometric information to determine the effect of the stimulus on the occupant. 
   
   ",,
US12300248B2,"Audio signal processing for automatic transcription using ear-wearable device 
       ","
     A system and method of automatic transcription using a visual display device and an ear-wearable device. The system is configured to process an input audio signal at the display device to identify a first voice signal and a second voice signal from the input audio signal. A representation of the first voice signal and the second voice signal can be displayed on the display device and input can be received comprising the user selecting one of the first voice signal and the second voice signal as a selected voice signal. The system is configured to convert the selected voice signal to text data and display a transcript on the display device. The system can further generate an output signal sound at the first transducer of the ear-wearable device based on the input audio signal. 
   
   ",,
US12279849B2,"Method for performing wireless communication by using biosensor and electronic device therefor 
       ","
     An electronic device is provided comprising: a biometric sensor, including at least one light emitting diode (LED) and at least one light receiving unit, for acquiring biometric information by means of the at least one light emitting device and the at least one light receiving unit; a power receiving circuit configured to receive a wireless power signal from an external electronic device; and a processor operatively coupled to the biometric sensor and the power receiving circuit. The processor may be configured to receive a designated wireless power signal from the external electronic device by using the power receiving circuit and to perform optical communication with the external electronic device by using the biosensor when the designated wireless power signal is received. Other various embodiments identified from the specification are also possible. 
   
   ",,
US12298521B2,"Voice input for AR wearable devices 
       ","
     Systems, methods, and computer readable media for voice input for augmented reality (AR) wearable devices are disclosed. Embodiments are disclosed that enable a user to interact with the AR wearable device without using physical user interface devices. A keyword is used to indicate that the user is about to speak an action or command. The AR wearable device divides the processing of the audio data into a keyword module that is trained to recognize the keyword and a module to process the audio data after the keyword. In some embodiments, the AR wearable device transmits the audio data after the keyword to a host device to process. The AR wearable device maintains an application registry that associates actions with applications. Applications can be downloaded, and the application registry updated where the applications indicate actions to associate with the application. 
   
   ",,
US12254234B2,"Apparatus and method for providing contents related to augmented reality service between electronic device and wearable electronic device 
       ","
     A method and a device capable of supporting various display methods using an electronic device and/or glasses-type wearable electronic device (e.g., AR glasses) in an augmented reality (AR) are provided. An AR providing device for AR services includes a display and a processor. The processor is configured to provide content through an AR screen, detect a specified external object through the AR screen while providing the content, determine a display mode for providing the content, based on detection of the specified external object, control to display the content through a display of the specified external object, based on the determined display mode, and perform control to display the content through a virtual display area associated with the specified external object on the AR screen, based on the determined display mode. 
   
   ",,
US12201431B2,"Blood glucose states based on sensed brain activity 
       ","
     Blood glucose states based at least on sensed brain activity data. Blood glucose states may be predicted states using prediction models, and may be real-time or future glucose states. One or more wearable sensors, optionally adapted for use in either single channel or dual channel sensing, can record brain activity signals and communicate brain activity signal data to a remote device. 
   
   ",,
US12300054B2,"Entry management system 
       ","
     An artificial intelligence (AI) entry management (EM) security system includes a camera, a microphone, a motion detector, a speaker, and a software platform. Geofences are utilized to create boundaries around physical areas, such as locations for package delivery or property boundaries. The EM device and other devices connected to the software platform are configured to monitor the geofences and detect a presence of an activity, an event, an object, or a device. At least one license plate reader is utilized to read license plate characters. Voice recognition and voice identification are used to grant or deny permissions for individuals on a property. 
   
   ",,
US12226187B2,"Estimation of source-detector separation in an optical measurement system 
       ","
     An optical measurement system includes a light source configured to emit a first light pulse and a second light pulse toward a target, a detector, and a processing unit. The first light pulse has a first wavelength and the second light pulse has a second wavelength different from the first wavelength. The processing unit is configured to determine a plurality of temporal distributions of photons included in the first light pulse and the second light pulse and detected by the detector after the photons are scattered by the target, and determine, based on the plurality of temporal distributions and a source-detector distance estimation model, a distance between the light source and the detector. 
   
   ",,
US12289514B2,"Image capturing and display apparatus and wearable device 
       ","
     An image capturing and display apparatus comprises a plurality of photoelectric conversion elements for converting incident light from the outside of the image capturing and display apparatus to electrical charge signals, and a plurality of light-emitting elements for emitting light of an intensity corresponding to the electrical charge signals acquired by the plurality of photoelectric conversion elements. A pixel region is defined as a region in which the plurality of photoelectric conversion elements are arranged in an array. Signal paths for transmitting signals from the plurality of photoelectric conversion elements to the plurality of light-emitting elements lie within the pixel region. 
   
   ",,
US12211599B2,"Medical assistant 
       ","
     A wearable device can present virtual content to the wearer for many applications in a healthcare setting. The wearer may be a patient or a healthcare provider (HCP). Such applications can include, but are not limited to, access, display, and modification of patient medical records and sharing patient medical records among authorized HCPs. 
   
   ",,
US12097161B2,"Communication devices, methods, and systems 
       ","
     Exemplary aspects of a wearable device are described, including a body, an attachment element, and a plurality of energy generators. The body may include a flexible material layer and be conformable about a head of a user. The body may have a power source. The attachment element may include a band to maintain the body about the head of the user and a skin facing surface of the body against skin of the user. The plurality of energy generators may be independently operable to convert electricity from the power source into a plurality of different energy types transmittable towards the skin of the user. At least one of the plurality of energy generators may be disposed at least partially within the flexible material layer. Related apparatus, methods, and systems are described. 
   
   ",,
US12283010B2,"Mission driven virtual character for user interaction 
       ","
     An augmented reality (AR) display device can display a virtual assistant character that interacts with the user of the AR device. The virtual assistant may be represented by a robot (or other) avatar that assists the user with contextual objects and suggestions depending on what virtual content the user is interacting with. Animated images may be displayed above the robot's head to display its intents to the user. For example, the robot can run up to a menu and suggest an action and show the animated images. The robot can materialize virtual objects that appear on its hands. The user can remove such an object from the robot's hands and place it in the environment. If the user does not interact with the object, the robot can dematerialize it. The robot can rotate its head to keep looking at the user and/or an object that the user has picked up. 
   
   ",,
US12217620B2,"Fluctuating progress indicator 
       ","
     A configuration for a breathing sequence may be defined using a user interface of a user device. The user interface may also be used to begin the breathing sequence. Prior to beginning the breathing sequence, the user device can determine a breath ratio for the breathing sequence based on a breathing profile. The breath ratio is based at least in part on inhale time and exhale time of a breath of the breathing sequence. During the breathing sequence, a fluctuating user interface element may fluctuate at a cyclic rate corresponding to the breath ratio. Such fluctuation may include repeated growing and repeated shrinking of the fluctuating user interface element. 
   
   ",,
US12272834B2,"Wearable device having battery pack bank and adaptor 
       ","
     A system including a power tool, a device, one or more battery packs, a battery pack bank, and an adaptor. The power tool has a power tool battery receptacle. The device is wearable by a user and has a first device battery receptacle and a second device battery receptacle. The one or more battery packs are received by at least one selected from a group of the power tool battery receptacle, the first device battery receptacle, and the second device battery receptacle. The battery pack bank is on the device. The adaptor includes a user interface and an adapter interface, the adapter interface is received by the power tool battery receptacle, the adapter configured to supply power, via the first device battery receptacle, when the user interface is in a first mode, and supply power, via the second device battery receptacle, when the user interface is in a second mode. 
   
   ",,
US12307287B2,"Auto-recovery for AR wearable devices 
       ","
     Systems, methods, and computer readable media for auto-recovery of an augmented reality (AR) wearable device are disclosed. A pass-through application is invoked as a background process and an application is invoked as a foreground process. The pass-through application includes an on-resume procedure that is called if the operating system or interpreter determines that the foreground process is unresponsive. The on-resume procedure restarts the application as the foreground process and may first reboot the AR wearable device. The pass-through application remains transparent to the user by not displaying output on the display of the AR wearable device. Additionally, an uncaught exception handler is registered with the operating system to be called in the event that an exception occurs that does not have a handler. The exception handler restarts the application as the foreground process and may first reboot the AR wearable device. 
   
   ",,
US12307731B2,"Wearable device such as for glucose measurement 
       ","
     Modulation-encoded light, using different spectral bin coded light components, can illuminate a stationary or moving (relative) target object or scene. Response signal processing can use information about the respective different time-varying modulation functions, to decode to recover information about a respective response parameter affected by the target object or scene. Electrical or optical modulation encoding can be used. LED-based spectroscopic analysis of a composition of a target (e.g., SpO2, glucose, etc.) can be performed; such can optionally include decoding of encoded optical modulation functions. Baffles or apertures or optics can be used, such as to constrain light provided by particular LEDs. Coded light illumination can be used with a focal plane array light imager receiving response light for inspecting a moving semiconductor or other target. Encoding can use orthogonal functions, such as an RGB illumination sequence, or a sequence of combinations of spectrally contiguous or non-contiguous colors. 
   
   ",,
US12307803B2,"Method for identifying user's real hand and wearable device therefor 
       ","
     Provided is a method of identifying a hand of a genuine user wearing a wearable device. According to an embodiment, the method includes using a sensor included in the wearable device to recognize a hand located in a detection area of the sensor; estimating a position of a shoulder connected to the recognized hand based on a positional relation between the orientation of the recognized hand and at least one body part connected to the recognized hand; and using information about a probability of a shoulder of the genuine user being present in the estimated position to determine whether the recognized hand is a hand of the genuine user. 
   
   ",,
US12313429B2,"Device for measurements for a wearable device sensor 
       ","
     In accordance with an example embodiment, there is provided a device for measurements for a wearable device sensor, the device comprising: a support configured to receive an appendage of a human body; at least one light source; at least one light detector; and an actuator configured to move the at least one light source, or the at least one light detector, or both to at least two different measurement positions in relation to the support. 
   
   ",,
US12239570B2,"Sleep apnea detection and mitigation device 
       ","
     Sleep apnea detection and mitigation equipment that uses a face mask connected to a pillow with an embedded device is described. The embedded device has an air inlet assembly to pull in air from the environment, an exhaust assembly to release air to the environment, a control circuit, and an oxygen tank with a regulator. The inlet assembly releases filtered air into the face mask through an air tube and the exhaust assembly pulls contaminated air from the interior of the face mask through another air tube. Airflow sensors within the path of the airflow are used to measure the real time airflow data. The control circuit uses the measured real time airflow data to detect sleep apnea. The control circuit also reshapes the pillow to mitigate the apnea. 
   
   ",,
US12175161B2,"Generative audio playback via wearable playback devices 
       ","
     Systems and methods for playback of generative media content via wearable audio playback devices such as headphones are disclosed. In one method, the wearable device detects that it is being worn by a user, and obtains one or more input parameters via a network interface. Next, generative media content is generated based on the one or more input parameters and played back via the wearable playback device. In some examples, after detecting that the wearable playback device is no longer being worn by the user, playback ceases. 
   
   ",,
US12076596B2,"Portable, lightweight, and wearable respirator 
       ","
     The discloser describes a respirator that uses a face mask connected to a wearable device through two air tubes. The wearable device has an air inlet assembly to pull in air from the environment, an exhaust assembly, and an oxygen tank with a regulator. The regulator receives oxygen from the oxygen tank, injects it into the air inlet assembly to be mixed with the air from the environment, and to be delivered into the face mask. The regulator uses a sensor to measure the oxygen pressure within the regulator and an airbag to maintain the pressure and amount of oxygen exiting the regulator. The airbag is inflated or deflated automatically or manually to control the oxygen pressure within the regulator. The exhaust assembly receives the contaminated air from interior of the mask and filter it before releasing to the environment. 
   
   ",,
US12316589B2,"Generating and displaying customized avatars in media overlays 
       ","
     Among other things, embodiments of the present disclosure improve the functionality of electronic messaging and imaging software and systems by generating and displaying media overlays with avatars of different users. For example, media overlays can be generated by the system and displayed in conjunction with media content (e.g., images and/or video) generated by an image-capturing device (e.g., a digital camera). 
   
   ",,
US12125331B2,"Authentication of wearable devices associated with a premises security system 
       ","
     In some embodiments, an authentication device is provided. The authentication device configured to determine that the wearable device is authorized to participate in the premises security system, cause transmission of a first security token that is usable to validate that the wearable device is authorized to participate in the premises security system, in response to the status update, request the first security token from the wearable device, validate that the wearable device is authorized to participate in the premises security system based at least in part on the first security token received from the wearable device and in response to validating that the wearable device is authorized to participate in the premises security system, cause transmission of a second security token to the wearable device where the second security token is usable to trigger a premises security system action. 
   
   ",,
US12300087B2,"Auto-notification sensor for adjusting of a wearable device 
       ","
     Methods, apparatus, and computer program products for alerting a user of a wearable device to adjust the position of the device are provided. An example method includes receiving environment data from a wearable device sensor, wherein the wearable device is mountable on an arm of the user and directed toward a hand of the user, the environment data including a representation of a calibrating object and a target machine-readable code having a determinable size. The example method further decodes the target machine-readable code. Additionally, the example method determines a position of the wearable device on the arm of the user based on the size of the calibrating object and the size of the target machine-readable code. The example method alerts the user to adjust the position of the wearable device when the position of the wearable device relative to the calibrating object exceeds a predetermined threshold. 
   
   ",,
US12290721B2,"Systems and methods for workout scoring using image and exertion data 
       ","
     Systems, methods, and computer readable medium are disclosed for performance of exercise scoring operations. Performance of exercise scoring operations includes storing an exercise goal for a particular individual; receiving from a sensor on a piece of electronic exercise equipment, exertion data; receiving, from at least one image sensor monitoring use of the piece of electronic exercise equipment, image data reflecting form and posture of the particular individual during an exercise set; generating a score for the exercise set by performing an aggregate analysis of the exercise goal, the exertion data, and the image data reflecting the form and posture; and outputting the score. 
   
   ",,
US12311116B2,"Wearable devices for providing vibration therapy to a user 
       ","
     Wearable devices can be used to provide therapy to users and/or to monitor various physiological parameters of the user. In some cases, therapy can be triggered automatically based on the monitored physiological parameters reaching or exceeding predefined thresholds. 
   
   ",,
US12189853B2,"Object engagement based on finger manipulation data and untethered inputs 
       ","
     A method includes displaying a plurality of computer-generated objects, and obtaining finger manipulation data from a finger-wearable device via a communication interface. In some implementations, the method includes receiving an untethered input vector that includes a plurality of untethered input indicator values. Each of the plurality of untethered input indicator values is associated with one of a plurality of untethered input modalities. In some implementations, the method includes obtaining proxy object manipulation data from a physical proxy object via the communication interface. The proxy object manipulation data corresponds to sensor data associated with one or more sensors integrated in the physical proxy object. The method includes registering an engagement event with respect to a first one of the plurality of computer-generated objects based on a combination of the finger manipulation data, the untethered input vector, and the proxy object manipulation data. 
   
   ",,
US12189122B2,"Head-mounted display systems with power saving functionality 
       ","
     Head-mounted display systems with power saving functionality are disclosed. The systems can include a frame configured to be supported on the head of the user. The systems can also include a head-mounted display disposed on the frame, one or more sensors, and processing electronics in communication with the display and the one or more sensors. In some implementations, the processing electronics can be configured to cause the system to reduce power of one or more components in response to at least in part on a determination that the frame is in a certain position (e.g., upside-down or on top of the head of the user). In some implementations, the processing electronics can be configured to cause the system to reduce power of one or more components in response to at least in part on a determination that the frame has been stationary for at least a threshold period of time. 
   
   ",,
US12267129B2,"Systems and methods for a wirelessly powered interactive guest device 
       ","
     A wireless power system includes a control system configured to output radio waves to an environment and a wearable device having an energy harvesting device configured to receive the radio waves and to harvest energy from the received radio waves. The wearable device also includes a processor and a sensor configured to detect a state of the wearable device and output a state signal to the processor. The processor is configured to output a device control signal based on the detected state signal. The wearable device further includes a communicator configured to receive the device control signal from the processor and to provide an output to the control system based on the state of the wearable device. At least the processor, the sensor, or the communicator receive power via the energy harvested by the energy harvesting device. 
   
   ",,
US12246175B2,"Methods for positioning signal delivery devices to treat sleep apnea, and associated devices and treatments 
       ","
     The present technology is generally directed to methods for addressing a patient's sleep apnea. At least some of the methods can include one or more of percutaneously inserting an implantable signal delivery device at an insertion point on the patient's neck, moving the signal delivery device in a medial-to-lateral direction toward an ansa cervicalis nerve of the patient, and implanting the signal delivery device at a target location at least proximate to the ansa cervicalis nerve. The signal delivery device can include at least one electrode positioned to deliver a modulation signal to tissue at least proximate to the target location, such as a portion of the ansa cervicalis nerve. In some embodiments, delivery of the modulation signal can induce caudal traction in the patient and thereby address the patient's sleep apnea. 
   
   ",,
US12223591B2,"Cross reality system for large scale environment reconstruction 
       ","
     Various techniques pertaining to methods, systems, and computer program products a spatial persistence process that places a virtual object relative to a physical object for an extended-reality display device based at least in part upon a persistent coordinate frame (PCF). A determination is made to decide whether a drift is detected for the virtual object relative to the physical object, upon or after detection of the drift or deviation, the drift or deviation is corrected at least by updating a tracking map into an updated tracking map and further at least by updating the persistent coordinate frame (PCF) based at least in part upon the updated tracking map, wherein the persistent coordinate frame (PCF) comprises six degrees of freedom relative to the map coordinate system. 
   
   ",,
US12295726B2,"Systems and methods for determining swimming metrics 
       ","
     The present disclosure relates to methods and systems of determining swimming metrics of a user during a swimming session. The method can include receiving, by a processor circuit of a user device, motion information from one or more motion sensors of the user device; determining, by the processor circuit using the motion information, a first set of rotational data of the user device, wherein the first set of rotational data is expressed in a first frame of reference; converting, by the processor circuit, the first set of rotational data into a second set of rotational data, wherein the second set of rotational data is expressed in a second frame of reference; determining, by the processor circuit, one or more swimming metrics of the user; and outputting the one or more swimming metrics. 
   
   ",,
US12295708B2,"Remote patient management and monitoring systems and methods 
       ","
     Systems and methods are provided for remote patient management and monitoring. The patient is monitored with a wireless sensor system connected to an application executing on a patient user computing device. The system continuously monitors physiological parameters, such as, but not limited to, blood oxygen saturation (SpO 2 ), pulse rate, perfusion index, pleth variability index, and/or respiration rate from the photoplethysmograph. The system triggers alarms if the patient physiological data violates thresholds. Care providers review patient data and associated alarm(s) with graphical user interfaces. 
   
   ",,
US12136806B2,"Methods and apparatus for battery current monitoring 
       ","
     Methods and apparatus are disclosed for battery current monitoring. An example apparatus includes a haptic device, an isolation switch to deliver power from a battery to the haptic device, an integrator to integrate a signal based on a current from the battery to the haptic device to generate an integrator output, and control logic to control the isolation switch based on a comparison of the integrator output to a threshold. 
   
   ",,
US12298760B2,"Neural net optimization of continuously variable powertrain 
       ","
     A method for optimizing a vehicle system involves using a neural network to optimize at least one operating parameter of a transmission portion of a continuously variable powertrain based at least in part on a classified current state of a vehicle, wherein the current state is associated with a predicted future vehicle state. 
   
   ",,
US12300883B2,"Electronic device including multiband antenna 
       ","
     An electronic device is provided. The electronic device includes an outer housing that comprises a first surface facing a first direction, a second surface facing a second direction opposite to the first direction, and a side surface surrounding a space between the first surface and the second surface, a display adapted to expose at least a portion of the display through the first surface of the outer housing, a PCB arranged between the second surface and the display in an interior of the outer housing, a communication circuit arranged on or over the PCB, a first conductive structure formed of at least one of the first surface or at least a portion of the side surface is electrically connected to the communication circuit, and a second conductive structure formed of the portion of the display electrically connected to the first conductive structure. 
   
   ",,
US12197697B2,"Dynamic application icons 
       ","
     Methods, systems, and devices for dynamic application icons are described. The application may receive, as part of an application downloading operation, an application software package. The application software package may include a plurality of icons that are configured to visually distinguish the application on a user interface of the user device from other applications running on an operating system of the user device. The application may identify a satisfaction of an achievement threshold corresponding to an alternate icon based on processing data. The application may output, to the operating system of the user device, a visual display instruction to display the alternate icon on the user interface instead of the default icon based on identifying the satisfaction of the achievement threshold. The alternate icon may be visually representative of a type of achievement corresponding to the achievement threshold. 
   
   ",,
US12285276B2,"Method for providing alert of potential thyroid abnormality 
       ","
     Provided are a system and a computer program for managing and predicting thyrotoxicosis using a wearable device. The system for predicting thyrotoxicosis is a system for predicting thyrotoxicosis using a resting heart rate, the system including a wearable device for measuring the heart rate of a patient at regular intervals, and a bio-signal computing device for receiving heart rate information from the wearable device, the bio-signal computing device outputting a warning alarm when a resting heart rate is greater than a reference heart rate when the patient is in a normal state. 
   
   ",,
US12214214B2,"Remote medical device alarm 
       ","
     A remote alarm for use with a wearable medical device. The remote alarm is configured to receive alarms, voice messages and prompts issued by the wearable medical device and to repeat those alarms, voice messages and prompts in a manner that can more easily be perceived by a patient wearing the wearable medical device or a bystander. The remote alarm can be configured to receive a communication from the wearable medical device, and in response, to identify one or more messages to be provided to the patient or a bystander. The messages may be provided audibly, visually, tactilely or combinations thereof. The remote alarm may further be configured to take certain actions depending upon the content of the communication, such as sending a telephone message to alert emergency personnel to the identity, location and medical condition of the patient, or sending an email. 
   
   ",,
US12284795B2,"Wearable electronic device including heat dissipation structure 
       ","
     A wearable electronic device according to an embodiment may include: a housing disposed and configured to face a user's face, a first display including a display disposed inside the housing and configured to provide visual information to corresponding one of the user's eyes, a first heat dissipation fan disposed to at least partially face the first display and configured to discharge air inside the housing to an outside of the housing, a first heat conductive member comprising a thermally conductive material configured to absorb, dissipate, and/or move heat from the first display, a first heat dissipation fin provided at one end portion of the first heat conductive member and disposed on a movement path of the air discharged by the first heat dissipation fan, a second heat dissipation fan disposed to at least partially face the first display and configured to discharge the air inside the housing to the outside of the housing, a second heat conductive member comprising a thermally conductive material configured to absorb, dissipate, and/or move heat from the second display, and a second heat dissipation fin provided at one end portion of the second heat conductive member and disposed on a movement path of the air discharged by the second heat dissipation fan. 
   
   ",,
US12299194B2,"Systems and methods for gaze-assisted gesture control 
       ","
     The disclosed computer-implemented method may include capturing, by a computing device, a current position of a wearable device and a current position of user eye gaze at a current time. The method may also include determining that a user eye gaze is at a fixation position based on a speed of gaze movement. Additionally, the method may include calculating a direction of cursor movement by comparing a current cursor position with a previous cursor position at a previous time. Furthermore, the method may include calculating a likelihood of the fixation position being a target cursor position based on a difference between the direction of cursor movement and a direction from the current cursor position to the fixation position. Finally, the method may include increasing a speed of cursor movement toward the fixation position based on the likelihood. Various other methods, systems, and computer-readable media are also disclosed. 
   
   ",,
US12213780B2,"Action recognition system and method thereof 
       ","
     A wearable device is illustrated. The wearable device has a body, at least one light emitting unit, at least one light sensing unit and an action recognition module. The wearable device is suitable for wearing on a wrist of a user. The light emitting unit is disposed on an inner side of the body, and the light emitting unit emits a light beam illuminating at least a portion of the wrist. The light sensing unit operatively senses the light beam reflected by the at least portion of the wrist and generates a light sensing signal. The action recognition module is configured to operatively determine a function that corresponds to an action of the user. 
   
   ",,
